,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
9799,0.686,0.817,1,-5.659,1,0.0321,0.023,0.0183,0.0395,0.609,120.013,audio_features,2BhkQtorT9Vka8GLUzUeH4,spotify:track:2BhkQtorT9Vka8GLUzUeH4,https://api.spotify.com/v1/tracks/2BhkQtorT9Vka8GLUzUeH4,https://api.spotify.com/v1/audio-analysis/2BhkQtorT9Vka8GLUzUeH4,206080,4
9800,0.498,0.916,8,-3.728,1,0.0662,0.052,1.31e-06,0.0734,0.352,115.045,audio_features,7DkzLcSXS4KhSvbvIJja3M,spotify:track:7DkzLcSXS4KhSvbvIJja3M,https://api.spotify.com/v1/tracks/7DkzLcSXS4KhSvbvIJja3M,https://api.spotify.com/v1/audio-analysis/7DkzLcSXS4KhSvbvIJja3M,229253,4
9801,0.734,0.761,7,-5.021,1,0.0431,0.0102,0.000453,0.183,0.571,121.99,audio_features,3uvGesuyyBMHL1QX5x9hgM,spotify:track:3uvGesuyyBMHL1QX5x9hgM,https://api.spotify.com/v1/tracks/3uvGesuyyBMHL1QX5x9hgM,https://api.spotify.com/v1/audio-analysis/3uvGesuyyBMHL1QX5x9hgM,200695,4
9802,0.368,0.18,9,-17.869,0,0.0862,0.824,0.00127,0.106,0.14,72.981,audio_features,6SgVfpDBuqwuTicIPVHK8K,spotify:track:6SgVfpDBuqwuTicIPVHK8K,https://api.spotify.com/v1/tracks/6SgVfpDBuqwuTicIPVHK8K,https://api.spotify.com/v1/audio-analysis/6SgVfpDBuqwuTicIPVHK8K,242333,1
9803,0.849,0.6,6,-5.682,0,0.0319,0.42,8.72e-06,0.108,0.965,110.02,audio_features,7tBZa65xUKMMan9tIMPqbi,spotify:track:7tBZa65xUKMMan9tIMPqbi,https://api.spotify.com/v1/tracks/7tBZa65xUKMMan9tIMPqbi,https://api.spotify.com/v1/audio-analysis/7tBZa65xUKMMan9tIMPqbi,218413,4
9804,0.679,0.363,11,-10.9,1,0.0318,0.872,9.52e-05,0.0798,0.543,75.004,audio_features,4t98RbiU8q7a1STVYNS45q,spotify:track:4t98RbiU8q7a1STVYNS45q,https://api.spotify.com/v1/tracks/4t98RbiU8q7a1STVYNS45q,https://api.spotify.com/v1/audio-analysis/4t98RbiU8q7a1STVYNS45q,199787,5
9805,0.662,0.716,4,-4.942,1,0.118,0.12,0.0,0.396,0.727,102.1,audio_features,4Y6Voc2xpc4lPD5iKpN4o2,spotify:track:4Y6Voc2xpc4lPD5iKpN4o2,https://api.spotify.com/v1/tracks/4Y6Voc2xpc4lPD5iKpN4o2,https://api.spotify.com/v1/audio-analysis/4Y6Voc2xpc4lPD5iKpN4o2,219488,4
9806,0.464,0.462,0,-9.471,1,0.0344,0.36,0.0149,0.309,0.293,117.842,audio_features,6NYtqWYqMbnzoEU9jXla80,spotify:track:6NYtqWYqMbnzoEU9jXla80,https://api.spotify.com/v1/tracks/6NYtqWYqMbnzoEU9jXla80,https://api.spotify.com/v1/audio-analysis/6NYtqWYqMbnzoEU9jXla80,189081,4
9807,0.467,0.151,10,-15.177,1,0.0435,0.985,0.935,0.0965,0.107,52.088,audio_features,7KZR1DItdJhanFvXt2fMPH,spotify:track:7KZR1DItdJhanFvXt2fMPH,https://api.spotify.com/v1/tracks/7KZR1DItdJhanFvXt2fMPH,https://api.spotify.com/v1/audio-analysis/7KZR1DItdJhanFvXt2fMPH,202773,4
9808,0.456,0.679,2,-6.908,1,0.103,0.0599,9.03e-06,0.0902,0.297,83.655,audio_features,1o4cSqwgkMQFVvRB1q0t9v,spotify:track:1o4cSqwgkMQFVvRB1q0t9v,https://api.spotify.com/v1/tracks/1o4cSqwgkMQFVvRB1q0t9v,https://api.spotify.com/v1/audio-analysis/1o4cSqwgkMQFVvRB1q0t9v,224000,4
9809,0.712,0.852,6,-5.723,1,0.0786,0.147,0.0165,0.102,0.153,122.461,audio_features,0FJiaK1wNJqiAzn4xMZa35,spotify:track:0FJiaK1wNJqiAzn4xMZa35,https://api.spotify.com/v1/tracks/0FJiaK1wNJqiAzn4xMZa35,https://api.spotify.com/v1/audio-analysis/0FJiaK1wNJqiAzn4xMZa35,192157,4
